Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,9176.0,2012-12-30,Psychology,2014,MO,2012,December,4,Sunday,Yes,VIP
College of Nursing,Kansas City,College of Social Science,Scholarship,3708.0,2013-05-07,Psychology,2014,MO,2013,May,2,Tuesday,No,Premium
College of Agriculture and Natural Resources,Henderson,College of Natural Science,Scholarship,4606.0,2014-05-06,Computational Mathematics,2015,NV,2014,May,2,Tuesday,No,Premium
College of Business,Henderson,College of Natural Science,Scholarship,3009.0,2012-02-09,Computational Mathematics,2015,NV,2012,February,1,Thursday,No,Premium
College of Business,Orlando,College of Political Science,Scholarship,4930.0,2013-08-23,Political Theory and Constitutional Democracy,2016,FL,2013,August,3,Friday,No,Premium
College of Political Science,Orlando,College of Political Science,Scholarship,7895.0,2014-12-01,Political Theory and Constitutional Democracy,2016,FL,2014,December,4,Monday,No,VIP
Diversity Fund,San Diego,College of Natural Science,Endowment,824.0,2012-04-15,Biomedical Laboratory Science,2017,CA,2012,April,2,Sunday,Yes,Large
College of Natural Science,San Diego,College of Natural Science,Scholarship,292.0,2013-05-12,Biomedical Laboratory Science,2017,CA,2013,May,2,Sunday,Yes,Medium
Parents Association,Denver,College of Agriculture and Natural Resources,Campus Resource,5655.0,2014-01-10,Environmental Economics and Policy,2018,CO,2014,January,1,Friday,No,VIP
College of Political Science,Denver,College of Agriculture and Natural Resources,Scholarship,2635.5,2012-10-11,Environmental Economics and Policy,2018,CO,2012,October,4,Thursday,No,Premium
Diversity Fund,Scottsdale,College of Engineering,Endowment,5680.0,2013-08-02,Materials Science and Engineering,2019,AZ,2013,August,3,Friday,No,VIP
Campus Recreation,Scottsdale,College of Engineering,Campus Resource,486.0,2014-02-07,Materials Science and Engineering,2019,AZ,2014,February,1,Friday,No,Medium
Diversity Fund,Cincinnati,College of Social Science,Endowment,369.0,2012-11-21,Geographic Information Science,2020,OH,2012,November,4,Wednesday,No,Medium
Trustees Fund,Cincinnati,College of Social Science,Endowment,2886.0,2013-03-22,Geographic Information Science,2020,OH,2013,March,1,Friday,No,Premium
University Annual Fund,Hartford,College of Agriculture and Natural Resources,Endowment,1601.0,2014-06-01,Agribusiness Management,2021,CT,2014,June,2,Sunday,Yes,Premium
College of Arts and Sciences,Hartford,College of Agriculture and Natural Resources,Scholarship,2279.0,2012-09-23,Agribusiness Management,2021,CT,2012,September,3,Sunday,Yes,Premium
College of Education,Atlanta,College of Arts and Sciences,Scholarship,3159.0,2013-09-26,Philosophy,2022,GA,2013,September,3,Thursday,No,Premium
College of Political Science,Atlanta,College of Arts and Sciences,Scholarship,8953.0,2014-01-30,Philosophy,2022,GA,2014,January,1,Thursday,No,VIP
Campus Museums,Memphis,College of Natural Science,Campus Resource,7211.0,2012-11-07,Chemical Physics,2023,TN,2012,November,4,Wednesday,No,VIP
University Libraries,Memphis,College of Natural Science,Campus Resource,8299.0,2013-09-25,Chemical Physics,2023,TN,2013,September,3,Wednesday,No,VIP
Honors Program,Phoenix,College of Music,Campus Resource,6121.0,2014-11-06,Jazz Studies,2024,AZ,2014,November,4,Thursday,No,VIP
Diversity Fund,Phoenix,College of Music,Endowment,3984.0,2012-09-05,Jazz Studies,2024,AZ,2012,September,3,Wednesday,No,Premium
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,8439.0,2013-01-12,Women's and Gender Studies,2025,AZ,2013,January,1,Saturday,Yes,VIP
Minority Scholarship Fund,Phoenix,College of Arts and Sciences,Scholarship,6054.0,2014-10-12,Women's and Gender Studies,2025,AZ,2014,October,4,Sunday,Yes,VIP
College of Business,Chicago,College of Natural Science,Scholarship,3600.0,2012-01-03,Biochemistry and Molecular Biology/Biotechnology,2026,IL,2012,January,1,Tuesday,No,Premium
Diversity Fund,Chicago,College of Natural Science,Endowment,9438.0,2013-05-06,Biochemistry and Molecular Biology/Biotechnology,2026,IL,2013,May,2,Monday,No,VIP
College of Social Science,Phoenix,College of Social Science,Scholarship,1355.0,2014-07-23,History Education,2027,AZ,2014,July,3,Wednesday,No,Premium
Campus Museums,Phoenix,College of Social Science,Campus Resource,4901.0,2012-08-15,History Education,2027,AZ,2012,August,3,Wednesday,No,Premium
Parents Association,Savannah,College of Engineering,Campus Resource,3402.0,2013-07-07,Computer Engineering,2028,GA,2013,July,3,Sunday,Yes,Premium
College of Natural Science,Savannah,College of Engineering,Scholarship,6133.0,2014-11-11,Computer Engineering,2028,GA,2014,November,4,Tuesday,No,VIP
Honors Program,Boston,College of Political Science,Campus Resource,9788.0,2012-02-11,College of Political Science,2029,MA,2012,February,1,Saturday,Yes,VIP
Parents Association,Orlando,College of Agriculture and Natural Resources,Campus Resource,7159.0,2013-10-15,Horticulture,2030,FL,2013,October,4,Tuesday,No,VIP
Alumni Association,Seattle,College of Education,Campus Resource,2896.0,2014-08-26,Education,2031,WA,2014,August,3,Tuesday,No,Premium
Honors Program,Overland Park,College of Social Science,Campus Resource,6779.0,2012-07-14,Global & Area Studies - Soc Sci,2032,KS,2012,July,3,Saturday,Yes,VIP
Trustees Fund,Spokane,College of Agriculture and Natural Resources,Endowment,5177.0,2013-02-07,Fisheries and Wildlife,2033,WA,2013,February,1,Thursday,No,VIP
Diversity Fund,San Francisco,College of Engineering,Endowment,8184.0,2014-04-16,Electrical Engineering,2034,CA,2014,April,2,Wednesday,No,VIP
Campus Recreation,Chicago,College of Business,Campus Resource,650.0,2012-04-05,Accounting,2035,IL,2012,April,2,Thursday,No,Large
College of Natural Science,Phoenix,College of Social Science,Scholarship,1080.0,2013-06-10,Geography,2036,AZ,2013,June,2,Monday,No,Premium
College of Natural Science,Little Rock,College of Natural Science,Scholarship,3780.0,2014-04-24,Actuarial Science,2037,AR,2014,April,2,Thursday,No,Premium
University Annual Fund,Durham,College of Natural Science,Endowment,8599.0,2012-05-17,Actuarial Science,2038,NC,2012,May,2,Thursday,No,VIP
Diversity Fund,Des Moines,College of Social Science,Endowment,7372.0,2013-11-14,History,2039,IA,2013,November,4,Thursday,No,VIP
College of Agriculture and Natural Resources,Des Moines,College of Social Science,Scholarship,1532.0,2014-10-25,History,2039,IA,2014,October,4,Saturday,Yes,Premium
College of Natural Science,Richmond,College of Political Science,Scholarship,6904.0,2012-08-23,Comparative Cultures and Politics,2040,VA,2012,August,3,Thursday,No,VIP
Trustees Fund,Richmond,College of Political Science,Endowment,5976.0,2013-07-01,Comparative Cultures and Politics,2040,VA,2013,July,3,Monday,No,VIP
Parents Association,Colorado Springs,College of Natural Science,Campus Resource,5207.0,2014-06-17,Zoology,2041,CO,2014,June,2,Tuesday,No,VIP
Faculty Chair Endowments,Colorado Springs,College of Natural Science,Endowment,6480.0,2012-01-29,Zoology,2041,CO,2012,January,1,Sunday,Yes,VIP
Campus Museums,Raleigh,College of Political Science,Campus Resource,493.0,2013-05-11,College of Political Science,2042,NC,2013,May,2,Saturday,Yes,Medium
Trustees Fund,Raleigh,College of Political Science,Endowment,9612.0,2014-02-02,College of Political Science,2042,NC,2014,February,1,Sunday,Yes,VIP
Faculty Chair Endowments,Houston,College of Agriculture and Natural Resources,Endowment,8262.0,2012-02-09,Landscape Architecture,2043,TX,2012,February,1,Thursday,No,VIP
College of Natural Science,Houston,College of Agriculture and Natural Resources,Scholarship,3180.0,2013-02-02,Landscape Architecture,2043,TX,2013,February,1,Saturday,Yes,Premium
College of Arts and Sciences,Denver,College of Social Science,Scholarship,12960.0,2014-01-16,Sociology,2044,CO,2014,January,1,Thursday,No,VIP
College of Arts and Sciences,Denver,College of Social Science,Scholarship,13518.0,2012-11-01,Sociology,2044,CO,2012,November,4,Thursday,No,VIP
College of Arts and Sciences,Los Angeles,College of Engineering,Scholarship,4565.0,2013-02-02,Computer Engineering,2045,CA,2013,February,1,Saturday,Yes,Premium
College of Arts and Sciences,Los Angeles,College of Engineering,Scholarship,8657.0,2014-07-05,Computer Engineering,2045,CA,2014,July,3,Saturday,Yes,VIP
College of Natural Science,Billings,College of Natural Science,Scholarship,6197.0,2012-11-26,Biochemistry and Molecular Biology/Biotechnology,2046,MT,2012,November,4,Monday,No,VIP
College of Natural Science,Billings,College of Natural Science,Scholarship,5879.0,2013-11-19,Biochemistry and Molecular Biology/Biotechnology,2046,MT,2013,November,4,Tuesday,No,VIP
College of Social Science,Phoenix,College of Agriculture and Natural Resources,Scholarship,6006.0,2014-03-25,Construction Management,2047,AZ,2014,March,1,Tuesday,No,VIP
Diversity Fund,Phoenix,College of Agriculture and Natural Resources,Endowment,8528.0,2012-07-18,Construction Management,2047,AZ,2012,July,3,Wednesday,No,VIP
Campus Recreation,Indianapolis,College of Natural Science,Campus Resource,3599.0,2013-05-18,Biochemistry and Molecular Biology,2048,IN,2013,May,2,Saturday,Yes,Premium
In-State Scholarship Fund,Indianapolis,College of Natural Science,Scholarship,5010.0,2014-02-23,Biochemistry and Molecular Biology,2048,IN,2014,February,1,Sunday,Yes,VIP
College of Veterinary Medicine,San Francisco,College of Political Science,Scholarship,903.0,2012-10-19,Political Theory and Constitutional Democracy,2049,CA,2012,October,4,Friday,No,Large
University Annual Fund,San Francisco,College of Political Science,Endowment,6658.0,2013-01-20,Political Theory and Constitutional Democracy,2049,CA,2013,January,1,Sunday,Yes,VIP
College of Nursing,Richmond,College of Agriculture and Natural Resources,Scholarship,6225.0,2014-06-24,Food Science,2050,VA,2014,June,2,Tuesday,No,VIP
University Annual Fund,Richmond,College of Agriculture and Natural Resources,Endowment,530.0,2012-01-21,Food Science,2050,VA,2012,January,1,Saturday,Yes,Large
University Libraries,Mesa,College of Agriculture and Natural Resources,Campus Resource,9191.0,2013-10-07,Interior Design,2051,AZ,2013,October,4,Monday,No,VIP
Athletics,Mesa,College of Agriculture and Natural Resources,Campus Resource,2413.0,2014-06-11,Interior Design,2051,AZ,2014,June,2,Wednesday,No,Premium
College of Education,Denver,College of Agriculture and Natural Resources,Scholarship,13497.0,2012-06-10,Food Science,2052,CO,2012,June,2,Sunday,Yes,VIP
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,8419.5,2013-07-08,Food Science,2052,CO,2013,July,3,Monday,No,VIP
Parents Association,Mobile,College of Natural Science,Campus Resource,1270.0,2014-10-18,Plant Biology,2053,AL,2014,October,4,Saturday,Yes,Premium
Faculty Chair Endowments,Mobile,College of Natural Science,Endowment,2464.0,2012-01-21,Plant Biology,2053,AL,2012,January,1,Saturday,Yes,Premium
College of Arts and Sciences,San Diego,College of Arts and Sciences,Scholarship,4049.0,2013-12-22,Experience Architecture,2054,CA,2013,December,4,Sunday,Yes,Premium
University Annual Fund,San Diego,College of Arts and Sciences,Endowment,8017.0,2014-01-22,Experience Architecture,2054,CA,2014,January,1,Wednesday,No,VIP
Campus Recreation,San Diego,College of Arts and Sciences,Campus Resource,645.0,2012-11-16,Linguistics,2055,CA,2012,November,4,Friday,No,Large
College of Social Science,San Diego,College of Arts and Sciences,Scholarship,3883.0,2013-11-13,Linguistics,2055,CA,2013,November,4,Wednesday,No,Premium
Faculty Chair Endowments,Seattle,College of Natural Science,Endowment,5110.0,2014-02-12,Physical Science Interdepartmental,2056,WA,2014,February,1,Wednesday,No,VIP
Campus Museums,Seattle,College of Natural Science,Campus Resource,3715.0,2012-08-03,Physical Science Interdepartmental,2056,WA,2012,August,3,Friday,No,Premium
College of Social Science,New York,College of Arts and Sciences,Scholarship,1562.0,2013-08-01,Linguistics,2057,NY,2013,August,3,Thursday,No,Premium
Minority Scholarship Fund,New York,College of Arts and Sciences,Scholarship,5718.0,2014-01-10,Linguistics,2057,NY,2014,January,1,Friday,No,VIP
Trustees Fund,Tulsa,College of Education,Endowment,3708.0,2012-06-03,Special Education-Learning Disabilities,2058,OK,2012,June,2,Sunday,Yes,Premium
Honors Program,Tulsa,College of Education,Campus Resource,5275.0,2012-08-19,Special Education-Learning Disabilities,2058,OK,2012,August,3,Sunday,Yes,VIP
Campus Museums,Louisville,College of Arts and Sciences,Campus Resource,3009.0,2012-11-06,English,2059,KY,2012,November,4,Tuesday,No,Premium
University Annual Fund,Louisville,College of Arts and Sciences,Endowment,5056.0,2012-11-24,English,2059,KY,2012,November,4,Saturday,Yes,VIP
Minority Scholarship Fund,Dallas,College of Natural Science,Scholarship,7895.0,2012-05-13,Chemical Physics,2060,TX,2012,May,2,Sunday,Yes,VIP
College of Business,Dallas,College of Natural Science,Scholarship,5510.0,2012-03-13,Chemical Physics,2060,TX,2012,March,1,Tuesday,No,VIP
College of Political Science,Boston,College of Social Science,Scholarship,292.0,2012-01-31,Economics,2061,MA,2012,January,1,Tuesday,No,Medium
Diversity Fund,Boston,College of Social Science,Endowment,4264.0,2012-04-29,Economics,2061,MA,2012,April,2,Sunday,Yes,Premium
College of Agriculture and Natural Resources,Dallas,College of Business,Scholarship,1757.0,2012-08-25,Hospitality Business,2062,TX,2012,August,3,Saturday,Yes,Premium
College of Arts and Sciences,Dallas,College of Business,Scholarship,7342.0,2012-02-11,Hospitality Business,2062,TX,2012,February,1,Saturday,Yes,VIP
Faculty Chair Endowments,Manchester,College of Music,Endowment,486.0,2012-10-29,Music Performance,2063,NH,2012,October,4,Monday,No,Medium
Athletics,Manchester,College of Music,Campus Resource,9665.0,2013-11-07,Music Performance,2063,NH,2013,November,4,Thursday,No,VIP
College of Natural Science,Cincinnati,College of Arts and Sciences,Scholarship,2886.0,2014-02-08,Women's and Gender Studies,2064,OH,2014,February,1,Saturday,Yes,Premium
Parents Association,Cincinnati,College of Arts and Sciences,Campus Resource,9013.0,2012-08-26,Women's and Gender Studies,2064,OH,2012,August,3,Sunday,Yes,VIP
College of Engineering,Mobile,College of Arts and Sciences,Scholarship,2279.0,2013-07-04,Professional Writing,2065,AL,2013,July,3,Thursday,No,Premium
College of Business,Mobile,College of Arts and Sciences,Scholarship,309.0,2014-08-04,Professional Writing,2065,AL,2014,August,3,Monday,No,Medium
College of Agriculture and Natural Resources,Denver,College of Arts and Sciences,Scholarship,13429.5,2012-06-04,Art Education,2066,CO,2012,June,2,Monday,No,VIP
Honors Program,Denver,College of Arts and Sciences,Campus Resource,11214.0,2013-05-09,Art Education,2066,CO,2013,May,2,Thursday,No,VIP
University Libraries,Manchester,College of Arts and Sciences,Campus Resource,8299.0,2014-03-27,Arts & Letters-General,2067,NH,2014,March,1,Thursday,No,VIP
Campus Museums,Manchester,College of Arts and Sciences,Campus Resource,3263.0,2012-05-06,Arts & Letters-General,2067,NH,2012,May,2,Sunday,Yes,Premium
Minority Scholarship Fund,Dallas,College of Natural Science,Scholarship,3984.0,2013-08-07,Plant Biology,2068,TX,2013,August,3,Wednesday,No,Premium
College of Arts and Sciences,Dallas,College of Natural Science,Scholarship,9379.0,2014-04-17,Plant Biology,2068,TX,2014,April,2,Thursday,No,VIP
Minority Scholarship Fund,Denver,College of Natural Science,Scholarship,9081.0,2012-12-01,Statistics,2069,CO,2012,December,4,Saturday,Yes,VIP
College of Social Science,Denver,College of Natural Science,Scholarship,13830.0,2013-09-04,Statistics,2069,CO,2013,September,3,Wednesday,No,VIP
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,14157.0,2014-10-04,Fisheries and Wildlife,2070,CO,2014,October,4,Saturday,Yes,VIP
Trustees Fund,Denver,College of Natural Science,Endowment,7351.5,2012-01-10,Chemical Physics,2071,CO,2012,January,1,Tuesday,No,VIP
Campus Museums,Denver,College of Natural Science,Campus Resource,11058.0,2013-03-12,Chemical Physics,2071,CO,2013,March,1,Tuesday,No,VIP
University Annual Fund,Detroit,College of Arts and Sciences,Endowment,6133.0,2014-11-29,Art History and Visual Culture,2072,MI,2014,November,4,Saturday,Yes,VIP
University Libraries,Detroit,College of Arts and Sciences,Campus Resource,9657.0,2012-02-07,Art History and Visual Culture,2072,MI,2012,February,1,Tuesday,No,VIP
Minority Scholarship Fund,Cincinnati,College of Agriculture and Natural Resources,Scholarship,1532.0,2013-06-29,Interior Design,2073,OH,2013,June,2,Saturday,Yes,Premium
Faculty Chair Endowments,Cincinnati,College of Agriculture and Natural Resources,Endowment,9923.0,2014-12-09,Interior Design,2073,OH,2014,December,4,Tuesday,No,VIP
University Libraries,Milwaukee,College of Natural Science,Campus Resource,5976.0,2012-06-01,Environmental Biology/Microbiology,2074,WI,2012,June,2,Friday,No,VIP
Athletics,Milwaukee,College of Natural Science,Campus Resource,6805.0,2013-01-23,Environmental Biology/Microbiology,2074,WI,2013,January,1,Wednesday,No,VIP
Athletics,Denver,College of Arts and Sciences,Campus Resource,9720.0,2014-06-07,English,2075,CO,2014,June,2,Saturday,Yes,VIP
College of Engineering,Denver,College of Arts and Sciences,Scholarship,8953.5,2012-01-30,English,2075,CO,2012,January,1,Monday,No,VIP
College of Engineering,Los Angeles,College of Arts and Sciences,Scholarship,9612.0,2013-10-27,German,2076,CA,2013,October,4,Sunday,Yes,VIP
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,2329.0,2014-10-23,German,2076,CA,2014,October,4,Thursday,No,Premium
College of Social Science,Savannah,College of Natural Science,Scholarship,3180.0,2012-11-06,Human Biology,2077,GA,2012,November,4,Tuesday,No,Premium
College of Communication Arts and Sciences,Savannah,College of Natural Science,Scholarship,8796.0,2013-11-20,Human Biology,2077,GA,2013,November,4,Wednesday,No,VIP
Honors Program,Oklahoma City,College of Arts and Sciences,Campus Resource,9012.0,2014-10-10,Professional Writing,2078,OK,2014,October,4,Friday,No,VIP
Trustees Fund,Oklahoma City,College of Arts and Sciences,Endowment,711.0,2012-10-12,Professional Writing,2078,OK,2012,October,4,Friday,No,Large
University Annual Fund,Wichita,College of Natural Science,Endowment,8657.0,2013-06-15,Mathematics,2079,KS,2013,June,2,Saturday,Yes,VIP
Trustees Fund,Wichita,College of Natural Science,Endowment,4897.0,2014-03-22,Mathematics,2079,KS,2014,March,1,Saturday,Yes,Premium
Trustees Fund,Phoenix,College of Political Science,Endowment,5879.0,2012-07-23,Comparative Cultures and Politics,2080,AZ,2012,July,3,Monday,No,VIP
Trustees Fund,Phoenix,College of Political Science,Endowment,2163.0,2013-10-05,Comparative Cultures and Politics,2080,AZ,2013,October,4,Saturday,Yes,Premium
Diversity Fund,Wichita,College of Nursing,Endowment,8528.0,2014-09-12,Nursing,2081,KS,2014,September,3,Friday,No,VIP
Trustees Fund,Wichita,College of Nursing,Endowment,2731.0,2012-11-11,Nursing,2081,KS,2012,November,4,Sunday,Yes,Premium
Trustees Fund,San Francisco,College of Arts and Sciences,Endowment,5010.0,2013-09-08,Theatre,2082,CA,2013,September,3,Sunday,Yes,VIP
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,6838.0,2014-01-16,Theatre,2082,CA,2014,January,1,Thursday,No,VIP
College of Social Science,Los Angeles,College of Arts and Sciences,Scholarship,6658.0,2012-08-26,Studio Art,2083,CA,2012,August,3,Sunday,Yes,VIP
Diversity Fund,Los Angeles,College of Arts and Sciences,Endowment,2775.0,2013-03-26,Studio Art,2083,CA,2013,March,1,Tuesday,No,Premium
Campus Recreation,Washington,College of Natural Science,Campus Resource,530.0,2014-05-19,Biochemistry and Molecular Biology/Biotechnology,2084,DC,2014,May,2,Monday,No,Large
University Libraries,Washington,College of Natural Science,Campus Resource,4510.0,2012-04-16,Biochemistry and Molecular Biology/Biotechnology,2084,DC,2012,April,2,Monday,No,Premium
College of Arts and Sciences,Austin,College of Social Science,Scholarship,2413.0,2013-11-24,Sociology,2085,TX,2013,November,4,Sunday,Yes,Premium
College of Natural Science,Austin,College of Social Science,Scholarship,1896.0,2014-05-16,Sociology,2085,TX,2014,May,2,Friday,No,Premium
College of Engineering,Providence,College of Music,Scholarship,5613.0,2012-04-24,Music,2086,RI,2012,April,2,Tuesday,No,VIP
College of Agriculture and Natural Resources,Providence,College of Music,Scholarship,6200.0,2013-03-21,Music,2086,RI,2013,March,1,Thursday,No,VIP
University Annual Fund,Syracuse,College of Social Science,Endowment,2464.0,2014-10-12,Global & Area Studies - Soc Sci,2087,NY,2014,October,4,Sunday,Yes,Premium
College of Natural Science,Syracuse,College of Social Science,Scholarship,6032.0,2012-10-25,Global & Area Studies - Soc Sci,2087,NY,2012,October,4,Thursday,No,VIP
Minority Scholarship Fund,Scottsdale,College of Agriculture and Natural Resources,Scholarship,8017.0,2013-02-10,Landscape Architecture,2088,AZ,2013,February,1,Sunday,Yes,VIP
Alumni Association,Scottsdale,College of Agriculture and Natural Resources,Campus Resource,5202.0,2014-02-26,Landscape Architecture,2088,AZ,2014,February,1,Wednesday,No,VIP
Faculty Chair Endowments,Columbia,College of Arts and Sciences,Endowment,3883.0,2012-06-17,Women's and Gender Studies,2089,SC,2012,June,2,Sunday,Yes,Premium
In-State Scholarship Fund,Columbia,College of Arts and Sciences,Scholarship,8364.0,2013-12-06,Women's and Gender Studies,2089,SC,2013,December,4,Friday,No,VIP
College of Natural Science,Detroit,College of Social Science,Scholarship,3715.0,2014-08-25,Interdisciplinary Studies in Social Science,2090,MI,2014,August,3,Monday,No,Premium
College of Music,Detroit,College of Social Science,Scholarship,554.0,2012-02-02,Interdisciplinary Studies in Social Science,2090,MI,2012,February,1,Thursday,No,Large
In-State Scholarship Fund,Houston,College of Natural Science,Scholarship,5718.0,2013-01-15,Computational Mathematics,2091,TX,2013,January,1,Tuesday,No,VIP
Faculty Chair Endowments,Houston,College of Natural Science,Endowment,582.0,2014-12-22,Computational Mathematics,2091,TX,2014,December,4,Monday,No,Large
Trustees Fund,Los Angeles,College of Arts and Sciences,Endowment,5510.0,2012-01-16,Spanish,2094,CA,2012,January,1,Monday,No,VIP
College of Agriculture and Natural Resources,Los Angeles,College of Arts and Sciences,Scholarship,3577.0,2013-05-18,Spanish,2094,CA,2013,May,2,Saturday,Yes,Premium
Trustees Fund,Hartford,College of Natural Science,Endowment,4264.0,2014-09-19,Actuarial Science,2095,CT,2014,September,3,Friday,No,Premium
Trustees Fund,Hartford,College of Natural Science,Endowment,8558.0,2012-07-05,Actuarial Science,2095,CT,2012,July,3,Thursday,No,VIP
Faculty Chair Endowments,Chicago,College of Music,Endowment,7342.0,2013-01-09,Composition,2096,IL,2013,January,1,Wednesday,No,VIP
Minority Scholarship Fund,Chicago,College of Music,Scholarship,91.0,2014-12-23,Composition,2096,IL,2014,December,4,Tuesday,No,Small
College of Arts and Sciences,Memphis,College of Arts and Sciences,Scholarship,9665.0,2012-03-25,Spanish,2097,TN,2012,March,1,Sunday,Yes,VIP
Trustees Fund,Memphis,College of Arts and Sciences,Endowment,4327.0,2013-05-05,Spanish,2097,TN,2013,May,2,Sunday,Yes,Premium
College of Social Science,Chicago,College of Music,Scholarship,9013.0,2014-06-15,Music,2098,IL,2014,June,2,Sunday,Yes,VIP
College of Engineering,Chicago,College of Music,Scholarship,6723.0,2012-02-23,Music,2098,IL,2012,February,1,Thursday,No,VIP
Diversity Fund,Columbia,College of Natural Science,Endowment,309.0,2013-12-05,Biomedical Laboratory Science,2099,SC,2013,December,4,Thursday,No,Medium
Campus Recreation,Columbia,College of Natural Science,Campus Resource,290.0,2014-06-22,Biomedical Laboratory Science,2099,SC,2014,June,2,Sunday,Yes,Medium
College of Natural Science,New Orleans,College of Social Science,Scholarship,7476.0,2012-06-24,Interdisciplinary Studies in Social Science,2100,LA,2012,June,2,Sunday,Yes,VIP
Diversity Fund,San Francisco,College of Nursing,Endowment,3263.0,2014-01-11,Summer Research Program,2101,CA,2014,January,1,Saturday,Yes,Premium
Trustees Fund,Los Angeles,College of Engineering,Endowment,9379.0,2013-03-07,Engineering-No Major,2102,CA,2013,March,1,Thursday,No,VIP
College of Education,New York,College of Arts and Sciences,Scholarship,9220.0,2012-10-18,Philosophy,2103,NY,2012,October,4,Thursday,No,VIP
Diversity Fund,Colorado Springs,College of Nursing,Endowment,7050.0,2014-01-19,Prenursing,2104,CO,2014,January,1,Sunday,Yes,VIP
Faculty Chair Endowments,Los Angeles,College of Education,Endowment,7372.0,2013-01-22,Special Education-Learning Disabilities,2105,CA,2013,January,1,Tuesday,No,VIP
College of Agriculture and Natural Resources,Cincinnati,College of Music,Scholarship,9657.0,2012-02-12,Music,2106,OH,2012,February,1,Sunday,Yes,VIP
Minority Scholarship Fund,Richmond,College of Natural Science,Scholarship,9923.0,2014-06-26,Zoology,2107,VA,2014,June,2,Thursday,No,VIP
Trustees Fund,Chicago,College of Communication Arts and Sciences,Endowment,6805.0,2013-11-21,Journalism,2108,IL,2013,November,4,Thursday,No,VIP
Trustees Fund,Denver,College of Natural Science,Endowment,8953.5,2012-02-08,Neuroscience,2109,CO,2012,February,1,Wednesday,No,VIP
Trustees Fund,Durham,College of Engineering,Endowment,2329.0,2014-02-12,Materials Science and Engineering,2110,NC,2014,February,1,Wednesday,No,Premium
Diversity Fund,Denver,College of Natural Science,Endowment,13194.0,2013-09-13,Environmental Geosciences,2111,CO,2013,September,3,Friday,No,VIP
College of Natural Science,Cincinnati,College of Engineering,Scholarship,711.0,2012-03-27,Computer Engineering,2112,OH,2012,March,1,Tuesday,No,Large
Minority Scholarship Fund,Tulsa,College of Social Science,Scholarship,4897.0,2013-08-11,Global & Area Studies - Soc Sci,2113,OK,2013,August,3,Sunday,Yes,Premium
Honors Program,Atlanta,College of Natural Science,Campus Resource,2163.0,2012-10-04,Preoptometry,2114,GA,2012,October,4,Thursday,No,Premium
Parents Association,Tucson,College of Arts and Sciences,Campus Resource,2731.0,2014-07-04,Women's and Gender Studies,2115,AZ,2014,July,3,Friday,No,Premium
Campus Museums,St. Paul,College of Political Science,Campus Resource,6838.0,2012-11-29,Political Theory and Constitutional Democracy,2116,MN,2012,November,4,Thursday,No,VIP
Diversity Fund,Indianapolis,College of Education,Endowment,2775.0,2014-05-09,Education,2117,IN,2014,May,2,Friday,No,Premium
Diversity Fund,Kansas City,College of Arts and Sciences,Endowment,4510.0,2012-12-09,Art Education,2118,KS,2012,December,4,Sunday,Yes,Premium
College of Business,Los Angeles,College of Business,Scholarship,1896.0,2014-08-07,Marketing,2119,CA,2014,August,3,Thursday,No,Premium
Trustees Fund,Phoenix,College of Social Science,Endowment,6200.0,2012-06-07,Political Science-Prelaw,2120,AZ,2012,June,2,Thursday,No,VIP
Athletics,San Francisco,College of Agriculture and Natural Resources,Campus Resource,6032.0,2014-09-04,Natural Resource Recreation and Tourism,2121,CA,2014,September,3,Thursday,No,VIP
University Annual Fund,Los Angeles,College of Natural Science,Endowment,5202.0,2012-10-23,Human Biology,2122,CA,2012,October,4,Tuesday,No,VIP
College of Natural Science,Omaha,College of Engineering,Scholarship,8364.0,2014-12-25,Environmental Engineering,2123,NE,2014,December,4,Thursday,No,VIP
Diversity Fund,Denver,College of Arts and Sciences,Endowment,11692.5,2012-10-10,Interdisciplinary Humanities,2124,CO,2012,October,4,Wednesday,No,VIP
Faculty Chair Endowments,North Las Vegas,College of Agriculture and Natural Resources,Endowment,582.0,2013-06-18,Environmental Economics and Policy,2125,NV,2013,June,2,Tuesday,No,Large
Diversity Fund,Henderson,College of Music,Endowment,8704.0,2012-03-22,Music Performance,2126,NV,2012,March,1,Thursday,No,VIP
College of Natural Science,Indianapolis,College of Education,Scholarship,3468.0,2014-01-23,Athletic Training,2127,IN,2014,January,1,Thursday,No,Premium
College of Natural Science,San Francisco,College of Natural Science,Scholarship,3577.0,2012-09-12,Predental,2128,CA,2012,September,3,Wednesday,No,Premium
Alumni Association,Dallas,College of Arts and Sciences,Campus Resource,8558.0,2013-08-29,Humanities-Prelaw,2129,TX,2013,August,3,Thursday,No,VIP
In-State Scholarship Fund,Alexandria,College of Engineering,Scholarship,91.0,2012-01-16,Mechanical Engineering,2130,VA,2012,January,1,Monday,No,Small
